whitePlayer,blackPlayer,format,stage,played,result,round
Gukesh D,"Ding, Liren",c,rr,1,0.0,1
"Ding, Liren",Gukesh D,c,rr,1,0.5,2
Gukesh D,"Ding, Liren",c,rr,1,1.0,3
"Ding, Liren",Gukesh D,c,rr,1,0.5,4
Gukesh D,"Ding, Liren",c,rr,1,0.5,5
"Ding, Liren",Gukesh D,c,rr,1,0.5,6
Gukesh D,"Ding, Liren",c,rr,1,0.5,7
"Ding, Liren",Gukesh D,c,rr,1,0.5,8
Gukesh D,"Ding, Liren",c,rr,1,0.5,9
"Ding, Liren",Gukesh D,c,rr,1,0.5,10
Gukesh D,"Ding, Liren",c,rr,1,1.0,11
"Ding, Liren",Gukesh D,c,rr,1,1.0,12
Gukesh D,"Ding, Liren",c,rr,0,0.0,13
"Ding, Liren",Gukesh D,c,rr,0,0.0,14
